名称,住所,営業日,電話番号
鴨なべ・地鶏 鴨いち 烏丸御池,〒604-0847 京都府京都市中京区秋野々町531-2, ディナー：18:00～23:30(L.O.22:45、ドリンクL.O.23:00),050-3466-6762
Tyoujiya 丁子屋,〒604-8105 京都府京都市中京区亀甲屋町595, 朝食：7:00～9:30、昼食：11:30～15:00、夕食：17:30～24:00,050-3461-4929
松阪牛 What’s,〒604-8165 京都府京都市中京区室町通三条下ル烏帽子屋町477,"月・水～日 ランチ：11:30～15:00(L.O.14:30)
月・水～日 ディナー：17:00～22:00(L.O.21:00)(昨今の情勢を鑑みまして、時間を変更しての営業とさせて頂いております。)",050-3462-7460
京焼肉 ききょう,〒604-8166 京都府京都市中京区三条通烏丸西入ル御倉町79 文椿ビルヂング1F," ランチ：11:30～14:30(L.O.14:00、ドリンクL.O.14:00)、ディナー：17:30～23:00(L.O.22:30)
土・日・祝日 ランチ：11:30～15:00(L.O.14:20、ドリンクL.O.14:20)",050-3314-0347
パエリア＆グリル バラッカ,〒604-8101 京都府京都市中京区柳八幡町78, 11:30～22:30(L.O.21:30、ドリンクL.O.22:00),050-3469-5866
Teppan Steak House 青山,〒604-8174 京都府京都市中京区役行者町359-1, ディナー：17:00～22:00(L.O.21:30)、ランチ：11:30～15:00(L.O.14:00、ドリンクL.O.14:30),050-3462-3732
つつみ,〒604-8205 京都府京都市中京区新町通三条下ル三条町327 サイト烏丸三条町1F,月～日 ディナー：18:00～22:00(L.O.22:00)(  ※予約制),050-3313-0423
リストランテ ストラーダ,〒604-0954 京都府京都市中京区御池通柳馬場東入東八幡町579,"火～日 ランチ：11:30～15:00(L.O.14:00)
火・日 ディナー：17:30～22:00(L.O.21:00)",050-3314-1452
本家尾張屋 本店,〒604-0841 京都府京都市中京区車屋町通二条下ル仁王門突抜町322, 11:00～19:00(L.O.18:00)(※お菓子販売のみ 9:00〜),050-3312-9841
彩宴,〒604-8175 京都府京都市中京区御池通室町下ル 京都ガーデンホテル1F,"月～日 ディナー：17:00～21:00(L.O.20:30、ドリンクL.O.20:30)
月～日 ランチ：11:00～14:00",050-3468-2833
十祇家 烏丸三条店,〒604-8203 京都府京都市中京区室町通三条西入ル衣棚町59-2, ランチ：12:00～13:30(※ランチはご予約限定で営業しております。お気軽にお問い合わせください。)、ディナー：17:00～22:30(L.O.21:30),050-3462-7290
漁港直送 海鮮酒場 あんじ 烏丸六角店,〒604-8134 京都府京都市中京区六角通烏丸東入堂之前町231 星の子六角ビル2F, 17:00～翌1:00(L.O.24:00)(～9/30まで営業時間を17:00～24:00（L.O.23:00）に変更いたします。)、ランチ：11:30～14:00(L.O.13:30)(～9/30まで、土・日もランチ営業いたします。また、テイクアウト、UberEatsも営業いたしますので是非ご利用ください。),050-3477-3984
